Iteration,Library,Pattern,Transport,MsgSize,Metric,Value
10,libzmq,DEALER_ROUTER,tcp,64,throughput,880156.17
10,libzmq,DEALER_ROUTER,tcp,64,latency,10.84
1,zlink,ROUTER_ROUTER,tcp,64,throughput,2850476.81
1,zlink,ROUTER_ROUTER,tcp,64,latency,13.21
1,libzmq,ROUTER_ROUTER,tcp,64,throughput,1706682.69
1,libzmq,ROUTER_ROUTER,tcp,64,latency,11.04
2,zlink,ROUTER_ROUTER,tcp,64,throughput,1711049.87
2,zlink,ROUTER_ROUTER,tcp,64,latency,11.06
2,libzmq,ROUTER_ROUTER,tcp,64,throughput,1698143.17
2,libzmq,ROUTER_ROUTER,tcp,64,latency,10.99
3,zlink,ROUTER_ROUTER,tcp,64,throughput,1752324.68
3,zlink,ROUTER_ROUTER,tcp,64,latency,11.65
3,libzmq,ROUTER_ROUTER,tcp,64,throughput,3062046.24
3,libzmq,ROUTER_ROUTER,tcp,64,latency,13.09
4,zlink,ROUTER_ROUTER,tcp,64,throughput,2819423.01
4,zlink,ROUTER_ROUTER,tcp,64,latency,12.84
4,libzmq,ROUTER_ROUTER,tcp,64,throughput,3070022.61
4,libzmq,ROUTER_ROUTER,tcp,64,latency,13.14
5,zlink,ROUTER_ROUTER,tcp,64,throughput,2886094.51
5,zlink,ROUTER_ROUTER,tcp,64,latency,12.82
5,libzmq,ROUTER_ROUTER,tcp,64,throughput,1879966.05
5,libzmq,ROUTER_ROUTER,tcp,64,latency,11.03
6,zlink,ROUTER_ROUTER,tcp,64,throughput,1724871.00
6,zlink,ROUTER_ROUTER,tcp,64,latency,11.21
6,libzmq,ROUTER_ROUTER,tcp,64,throughput,3075967.16
6,libzmq,ROUTER_ROUTER,tcp,64,latency,13.51
7,zlink,ROUTER_ROUTER,tcp,64,throughput,1499041.36
7,zlink,ROUTER_ROUTER,tcp,64,latency,11.76
7,libzmq,ROUTER_ROUTER,tcp,64,throughput,3123023.71
7,libzmq,ROUTER_ROUTER,tcp,64,latency,12.78
8,zlink,ROUTER_ROUTER,tcp,64,throughput,1703786.50
8,zlink,ROUTER_ROUTER,tcp,64,latency,11.18
8,libzmq,ROUTER_ROUTER,tcp,64,throughput,1865732.56
8,libzmq,ROUTER_ROUTER,tcp,64,latency,10.97
9,zlink,ROUTER_ROUTER,tcp,64,throughput,2898189.50
9,zlink,ROUTER_ROUTER,tcp,64,latency,13.16
9,libzmq,ROUTER_ROUTER,tcp,64,throughput,1685367.22
9,libzmq,ROUTER_ROUTER,tcp,64,latency,11.02
10,zlink,ROUTER_ROUTER,tcp,64,throughput,1745401.74
10,zlink,ROUTER_ROUTER,tcp,64,latency,11.70
10,libzmq,ROUTER_ROUTER,tcp,64,throughput,1871022.91
10,libzmq,ROUTER_ROUTER,tcp,64,latency,11.05
